天斩,天斩,《天斩》是连载于纵横中文网的一本仙侠异侠类小说，作者是迷谷。
秋水伊人,秋水伊人,秋水伊人女装是由浙江印象实业股份有限公司旗下的主打品牌。“蒹葭苍苍，白露为霜。所谓伊人，在水一方”，这句来自《诗经》的优美诗句，描述人们对美好爱情的执著追求、但又可望不可及的惆怅心情，演绎到现代的“秋水伊人”女性，就是一群知性，追求浪漫，对新事物持保守态度但同时易受媒体影响而关注时尚的都市女性，秋水伊人品牌就是定位于这样一群都市女性，设计师通过优雅、浪漫的设计表达手法，充分演绎目标消费群体的时尚经典而又精致优雅的淑女着衣风格！
靠谱,靠谱,靠谱是一个汉语词汇，拼音是kàopǔ，表示可靠，值得相信和托付的意思。是北方方言，后现代流行词汇。近义词是可靠、相信；反义词是离谱、怀疑，疑惑、玄乎。
万斯,VANS,Vans（范斯）是1966年3月16日由保罗·范·多伦创始的原创极限运动潮牌，公司位于美国南加州，以极限运动起家，包括滑板、冲浪、BMX、滑雪等。并以滑板运动为根，将生活方式、艺术、音乐和街头时尚文化等注入Vans美学，形成别具个性的青年文化标志，成为年轻极限运动爱好者和潮流人士认同欢迎的世界性品牌！
ROSWHEEL,ROSWHEEL,ROSWHEEL是永康市名大进出口有限公司名下的自行车包品牌
TREE FROG,树蛙,树蛙，无尾目树蛙科的1属，体多细长而扁，后肢长，吸盘大，指、趾间有发达的蹼，可以用其在空中滑翔，骨骼方面的主要特征与蛙科同。椎体参差型或前凹型；指、趾末端膨大成明显的吸盘，吸盘腹面边缘有边缘沟，吸盘的背面一般无横凹痕，腹面呈肉垫状。多树栖，外形和生活习性与雨蛙属颇近似，而亲缘关系甚远。树蛙科仅限于旧大陆，产于亚洲及非洲南半部热带和亚热带地区，从印度、斯里兰卡到日本、菲律宾和大巽他群岛；欧洲、美洲、大洋洲无分布。约8属，260种左右；1个属(攀蛙属Chiromantis)局限分布于热带非洲，亚洲有7属。
欧迪卡,欧迪卡,《欧迪卡》是陈爽恩讯作词，陈爽作曲，由陈韵涵演唱的一首儿童流行歌曲。
High Sierra,macOS High Sierra,2017年6月6日凌晨1点，苹果在WWDC开发者大会上发布了新macOS系统，取名HighSierra。去年的系统以风景名胜Sierra命名，今年的新名字来自于Sierra景区中最高的山。
LANGE,Lange,Lange，中文名为兰格，1869出生，1938去世，曾是挪威政治家和和平主义者，因倡导国际和平而获1921年诺贝尔和平奖。
YOLO,yolo,YOLO，美语新词，是YouOnlyLiveOnce的首字母缩略词，意为你只能活一次，是坏孩子做坏事前的宣言。和拉丁语的“及时行乐”或“死亡警告”相类似，YOLO的寓意是人应该享受人生，即使需要承担风险。就是鼓励人们不怕冒险，想做什么就做什么，享受人生，因为只会活一次。 现在这一句话常常用在青少年的对话和音乐当中。加拿大饶舌歌手德雷克的《TheMotto》使此句普及于网络中。
步惊云,步惊云,步惊云是香港著名漫画家马荣成的作品《风云》主角之一，因自出娘胎未流过眼泪，被称不哭死神，生于杭州的张余村中，为人沉默寡言，性格善变、不定。经过一系列武林波折，步惊云与聂风在几百年后的真神武纪中曾再次出现，二人于天山之巅对弈，对人间事物不再关心，彻底心死。 
飒歌,飒歌,
老骨头,老骨头,老骨头，读音lǎogútou，是汉语词汇，为老年人自称的谦词。
强力,强力,强力：1、中医名词。强（qiǎng）力，指强力入房。即精力不足而勉行房事。2、强力，网络流行形容词，形容人或者事物非常优异，强大，有感染力。3、强力，强力巨彩的简称，是一家led研发生产厂家厦门强力巨彩光电科技有限公司的简称·
奥特王,奥特之王,奥特之王是居住在K76行星的长者，和诺亚·奥特曼、雷杰多·奥特曼、赛迦·奥特曼合称神秘的四大战士，他被光之国的奥特战士称为“王”，是奥特一族传说中的超人，年龄为30万岁，拥有远远凌驾于任何奥特战士之上的实力。仅凭一已之力把贝利亚关到宇宙监狱，当宇宙中有巨大危机来临之时，他就会现身，直接将强敌解决，关于其真名，一说在已故的居村真二留给圆谷的遗产――《超传说》中，奥特之王的真名叫作"皮克"。（梦之战）中奥特之王没有出场，黑暗扎基也没有打败过奥特之王。从捷德奥特曼中可以看出奥特之王拥有与宇宙同化的强大力量。年龄仅次于诺亚奥特曼。
泰勒梅,泰勒梅,TaylorMade——阿迪达斯高尔夫球有限公司（TaylorMade-Adidas-SalomonAG，简称泰勒梅高球。自1979年创立之后，泰勒梅高球一直是高球科技发展的先驱。
GUCCI,GUCCI,Gucci，意大利时装品牌，由古驰奥·古驰在1921年于意大利佛罗伦萨创办。古驰的产品包括时装、皮具、皮鞋、手表、领带、丝巾、香水、家居用品及宠物用品等，中文译作古驰。GUCCI品牌时装一向以高档、豪华、性感而闻名于世，以“身份与财富之象征”品牌形象成为富有上流社会的消费宠儿，一向被商界人士垂青，时尚又不失高雅。古驰现在是意大利最大的时装集团。古驰--永恒而经典并深受明星们的青睐，品牌灵感源自演员，公主和名媛等杰出女性。如今其创作总监：弗里达·贾娜妮(FridaGiannini)将这一历史悠久的品牌推向了全新的高度。其产品包括：经典鞋履，奢华手袋，珠宝手表等。2016年6月8日，《2016年BrandZ全球最具价值品牌百强榜》公布，Gucci排第80名。
OZARK,奥索卡,奥索卡为户外运动品牌，并建立了西藏登山学校、CMDI中国登山高级人才培训班，使中国攀登运动融入世界前沿理念，持续进取。英文名称：ozark中文名称：奥索卡
JNE,jne,jne是一个条件转移指令。当ZF=0，转至标号处执行。
凯瑞,凯瑞,凯瑞（肝素钙注射液），适应症为抗凝血药，可阻抑血液的凝固过程。用于防止血栓的形成。
三强,三强,霸州市三强家具有限公司位于河北省霸州市工业发展重镇--------胜芳镇，创建于1991年，是集家具开发、设计、生产、销售于一体的各种钢木结合家具、板式家具、实木家具的专业厂家。
火龙果,火龙果,火龙果（学名：Hylocereusundatus'Foo-Lon'）是仙人掌科、量天尺属量天尺的栽培品种，攀援肉质灌木，具气根。分枝多数，延伸，叶片棱常翅状，边缘波状或圆齿状，深绿色至淡蓝绿色，骨质；花漏斗状，于夜间开放；鳞片卵状披针形至披针形，萼状花被片黄绿色，线形至线状披针形，瓣状花被片白色，长圆状倒披针形，花丝黄白色，花柱黄白色，浆果红色，长球形，果脐小，果肉白色、红色。种子倒卵形，黑色，种脐小。7-12月开花结果。分布中美洲至南美洲北部，世界各地广泛栽培，藉气根攀援于树干、岩石或墙上，海拔3-300米。该种分枝扦插容易成活，常作嫁接蟹爪属，仙人棒属和多种仙人球的砧木，花可作蔬菜，浆果可食，商品名“火龙果”。（概述图参考来源：中国自然标本馆）
梦花园,梦花园,灵感音乐–《梦花园GardenofDreams》，班得瑞邀集当代最具代表性的新世纪名家名作，卸去繁复的商业编曲，还以大师创作最纯净的原色，14首曲子洋溢花香般的优雅芬芳，全收录在第7章专辑《梦花园》里。
RED WOLF,红狼,红狼（学名：Canisrufus）是一种生存在北美洲的犬科动物，毛皮粗短，上体的颜色主要是肉桂红色和黄褐色，灰色或黑色组成的混合色彩，背部则是黑色，吻和四肢黄褐色，尾巴尖黑色，眼睛很亮。以松鸡，浣熊，兔子，老鼠，腐肉和家畜中的动物为主要食物，也会吃腐肉。分布于美国东南部，其祖先是灰狼和郊狼的杂交种。由于数目稀少，红狼常找不到同类繁殖，而与北美大草原的灰狼交配，令纯种红狼的数量下降。1980年在野外灭绝，1989年《美国鱼类和野生动物局》（USFWS）将驯养的狼引入北卡罗来纳州野外放养，至2002年已繁衍到超过50只。此外，还有170多头红狼在美国被圈养。
FENIX,Fenix,Fenix（菲尼克斯）是户外运动照明的领导品牌。该品牌专注于户外运动照明工具的研发、制造及销售的国家级高新技术企业。产品涵盖手电、头灯、自行车灯等系列。 
百臣,百臣,BACEEN百臣1987年创建于台湾，致力于高级男士皮鞋研发制作，是一家以专业制造、销售皮鞋为主，多元化经营的民营企业，百臣品牌前身始源与台湾台北市中山区正大鞋厂，正大鞋厂于1987年成立于台北经过20多年的努力发展已经成为台湾著名休闲鞋品牌，公司于2009年5月正式进入大陆开始拓展大陆市场同年更名为百臣鞋业。2011年百臣公司总部落户于淮北明珠-江苏泗洪，到2013年百臣在泗洪，温州，广州成立三大生产基地，日生产能力达10000多双，公司从曾经台北的一个名不见经传的小作坊发展成颇具规模的现代化知名企业。企业综合实力居中国休闲鞋生产基地同行业的榜首之一，销售额位居于同行业的十强企业，成为中国休闲鞋生产基地的重点保护企业，企业以强劲的势头领先同行业，并逐步形成了人们心目中共同信赖的知名品牌。公司严格按照ISO9001质量管理体系进行生产，其主导产品“百臣”男士真皮休闲鞋系全国第一批获准佩挂的中国真皮标志产品、全国制鞋标准化中心监制产品，
蜘蛛王,蜘蛛王,蜘蛛王，成立于1996年，主要经营皮鞋服饰类产品。注册资金7888万元，固定资产4.2亿元，总占地面积211亩，建筑面积16.6万平方米，曾荣获“中国名牌”、“中国十大真皮领先鞋王”等称号。
古奇天伦,古奇天伦,品牌简介古奇天伦是厦门达克斯贸易有限公司旗下鞋类品牌，品牌诞生于2009年，实行电子商务销售模式，经过多年的发展已经成为一款知名的网络鞋类品牌。
御乐,御乐,“若想进御乐府。今天午夜，青桥。”有人这么跟童龄说到。御乐府——那个迷一样的地方。没有人知道御乐府在哪里，可是每年都有几起赫赫有名的富商贵族或者江湖上有名的高手被杀或者被盗的案件，这些案件都有一个相同点就是每个现场都很干净，没有打斗的痕迹也没有挣扎的迹象，除了留在墙上的几个斗大的金色隶书：御乐府敬上。为了成为御乐师需要付出什么，身世和御乐府的背后究竟隐藏着什么？
惠特,惠特,大卫·惠特，是一名英格兰足球运动员。
海龙王,龙王,龙王是中国古代神话传说中在水里统领水族的王，掌管兴云降雨，属于四灵之一。传说龙能行云布雨、消灾降福，象征祥瑞，所以以舞龙的方式来祈求平安和丰收就成为全国民间各地的一种习俗。道教《太上洞渊神咒经》中有“龙王品”，列有以方位为区分的“五帝龙王”，以海洋为区分的“四海龙王”，以天地万物为区分的54名龙王名字和62名神龙王名字。
军舰鸟,军舰鸟,军舰鸟 （学名：Fregata）是鹈形目军舰鸟科5种大型海鸟的通称。具极细长的翅及长而深的叉形尾，翅展长约可达2.3米，一般雄性成鸟的体羽全黑，雌性成鸟的下部则为明显白色。两性皆具一个裸露皮肤的喉囊，求偶的雄鸟为了展示，其喉囊会呈鲜红色并鼓起。其他明显特征包括4趾，具蹼，以及长的钩状嘴，可以用来攻击其他海鸟，并抢夺其鱼。 
浪胜,浪胜,浪胜LONGSAIL，中文译名为浪胜，倡导的是一种本真、自由的运动新理念；是广州冠道体育用品有限公司与英国ChampLane公司合作推出的符合亚洲人体能特征、满足真正舒适游泳感受需求的游泳用品品牌。
才子,才子,才子，指德才兼备的人，不但才华出众，而且非常善于写作。见《左传·文公十八年》：“昔高阳氏有才子八人……齐圣广渊，明允诚笃，天下之民谓之八恺。”
SALEWA,SALEWA,SALEWA（沙乐华）1935年起源于德国 ，是欧洲著名的户外运动品牌。SA意为Saddler（制造马鞍的）、LE意为Leather（皮革）、WA意为Wares（制品）。
RICK OWENS,Rick Owens,瑞克·欧文斯(RickOwens)是设计师同名品牌。瑞克·欧文斯(RickOwens)1994年于美国洛杉矶创建品牌，从2001年开始崛起。
思凯乐,思凯乐,北京思凯乐旅游用品有限公司是一家专注户外，以提升户外生活品质和体验为目标的户外用品公司，成立于2003年，总部在北京。公司致力于为亲自然、爱进取的户外爱好者提供一站式时尚户外用品采购及服务，全方位满足消费者及企业用户的户外需求。
国家地理,国家地理,《国家地理》是1888年10月国家地理协会出版的图书，现在已经成为世界上最广为人知的一本杂志，杂志每年发行12次，但偶尔有特版发布则不在此限。《国家地理》封面上的亮黄色边框以及月桂纹图样已经成为象征，同时这些标识也是国家地理杂志的注册商标。杂志内容为高质量的关于社会、历史、世界各地的风土人情的文章；其印刷和图片之质量标准也为人们所称道。这也使得该刊成为来自世界各地的摄影新闻记者们梦想发布自己照片的地方。早在20世纪初期，国家地理杂志即已经开始使用一些当时罕见的彩色照片。2013年10月，《国家地理》迎来了创刊125周年纪念，10月号为特别纪念号。美国国家地理杂志创刊于1888年10月，它由美国的一家非盈利科学教育组织——“美国国家地理协会”（NationalGeographicSociety）创办。国家地理杂志近千分之一的选片率虽然显得苛刻，但一大批充满理想和浪漫主义的优秀摄影师、记者在这里诞生，而那些有灵魂有激情的作品则往往代表了一种标准。在大多数读者眼中，国家地理杂志意味着权威、科学性、准官方，它更像是一本百科全书而不仅仅是一本杂志。2015年11月新闻集团主席默多克旗下的21世纪福克斯公司宣布收购美国国家地理学会，意味该学会旗下《国家地理杂志》将易主，收购之后便对其进行大规模裁员。 
MK,Michael Kors,MichaelKors是一个时装设计师本人创建的同名奢侈品品牌。MichaelKors迈克高仕公司于1981年正式成立，总部设在纽约市。MichaelKors将奢侈品行业带入了一个新阶段并且成功塑造了崇尚自我表达和与众不同的生活化概念，并将品牌和过去的经典美国奢侈品品牌区分开来MichaelKors已经成为了美式奢侈生活风格的代表。目前MichaelKors在全球89个国家已经拥有超过500家门店，同时分销到全球顶级百货和全球专卖店。2017年7月25日，轻奢时尚品牌MichaelKors宣布将以12亿美元的价格收购女士鞋包品牌JimmyChoo。该项收购或将让MichaelKors在核心业务增长疲软的情况下，获得新的增长动力。 
雷比亚,雷比亚,雷比亚LEIBIYA诞生于2011年，它前身为闻名鞋类市场10年之久的“克尔克”。在业内同行及客户眼中，雷比亚LEIBIYA有着灵敏的市场嗅觉，无穷的战斗力及超前的思路，皆因他有比别人更加用心的团队，比别人更加真诚的客户源。雷比亚LEIBIYA创始人林良若先生说过一句话：“我们不想展示我们有多大的排场及配套，我们真心想呈现给消费者的是我们的产品，做到每位穿过雷比亚LEIIYA产品的客户都能满意并给予肯定，给每位客户的休闲生活增添一份舒适和光彩。 
单双号,单双号,单双号限行规定：车辆根据在单双号的日期内，只准许汽车牌照尾号为单（双）号的车辆通行。
萤火虫,萤火虫,萤火虫（英文：Firefly）又名夜光、景天、如熠燿、夜照、流萤、宵烛、耀夜等，属鞘翅目萤科，是一种小型甲虫，因其尾部能发出荧光，故名为萤火虫。这种尾部能发光的昆虫，约有近2000种，我国较常见的有黑萤、姬红萤、窗胸萤等几种。萤科昆虫的通称，全世界约2000种，分布于热带、亚热带和温带地区。根据中国几位专家的统计现发现的种类约有100余种，再加上未发现的种类，总共有150多种。夜间要发光，可分为水生类和陆生类两种。体型小至中型，长而扁平，体壁与鞘翅柔软。前胸背板平坦，常盖住头部。头狭小。眼半圆球形，雄性的眼常大于雌性。腹部7~8节，末端下方有发光器，体内的荧光素和荧光素酶反应后生成的黄绿色荧光。
山思,山思,
MY,my,my是一个英语单词，可以用作形容词等词性，可以翻译为我的，等等。
nalgene,NALGENE,Nalgene–NuncInternational是美国最大的实验室及医疗用容器生产商，凭借他们在生产科学用容器的经验，他们所制作之一系列野外及历险用容器亦依同样严格之标准所生产，在面世以来，一直大受好评，尤以其在防泄、耐撞及耐用方面之表现，远胜其它廉价产品，由雪山极地探险队至一般野营，均可随时找到Nalgene水瓶之迹影。所有Nalgene产品，全部均在美国罗彻斯特总厂生产，以确保每件Nalgene产品，均能符合其严格要求。
ZIOZIA,ZIOZIA,Ziozia是源自韩国的高级男士成衣品牌。“ZIO”在意大利语中代表男人，而“ZIA”则代表了女人，创立于1995年的ZIOZIA，已经走过了20年的辉煌，从“出生”伊始，设计师就赋予了它个性、时尚、尊贵的纯正血统，没有一丝矫揉造作、抛弃繁琐，ZIOZIA追求的就是简单、时髦和别具一格。“打造花样男人”是ZIOZIA一直遵循的不二法则，在现今时尚界，ZIOZIA开创的是一个崭新的时代，坚持走自己所倡导的路线，不随大流，特立独行确又能引领潮流，这就是ZIOZIA的个性，这就ZIOZIA的别样魅力。z
KATE SPADE,Kate Spade,KateSpade（凯特·丝蓓）是以手提包、鞋子窜红的美国品牌。由KatherineNoelBrosnahan创办，是纽约时装周的常客，以简洁灵动的造型，鲜亮大胆的颜色以及活泼有趣的生活态度风靡纽约。它用活力无限的大胆色调表现出katespadenewyork女孩内心对于未来的美好憧憬和无所畏惧。2017年5月8日COACH确认将以24亿美元收购KATESPADE. 
PPD,ppd,含义：potentiometerpositioningdevice是由上述三个英文单词的缩写。PPD定位技术是GRAT格莱特控制阀公司于2010年发明的一种用于：工业自动化过程控制装置（电动执行机构、电动执行器、电动调节阀等）机械和电气元件的定位装置实用新型专利技术。属于：长寿命，定位精度高，调试简单的一种新技术。
大疆,大疆,大疆是一款无人机的品牌，创立于2006年，由香港科技大学的在读研究生汪滔创立。大疆占据了全球民用小型无人机约七成的市场份额，主要市场集中在欧美国家。 
辛夷坞,辛夷坞,辛夷坞，原名蒋春玲，1981年8月4日出生于广西桂林，内地女作家，2004年毕业于广西师范学院法商学院社会工作专业。2007年7月出版现代言情小说《致我们终将逝去的青春》，10月出版现代言情小说《原来你还在这里》。2013年5月11日加入南宁市作协 ，同年12月5日，以500万版税居第八届中国作家富豪榜第18位 。2015年参与电影《应许之日》编剧工作 。
崖虎,崖虎,崖虎是一个户外运动品牌，创立于1978年，创始人是一个爱好运动的户外运动探险者。
CAXA,CAXA,北京数码大方科技股份有限公司（CAXA）是中国领先的工业软件和服务公司，是中国最大的CAD和PLM软件供应商，是中国工业云的倡导者和领跑者。主要提供数字化设计（CAD）、数字化制造（MES）、产品全生命周期管理（PLM）和工业云服务，是“中国工业云服务平台”的发起者和主要运营商。CAXA始终坚持技术创新，自主研发二维、三维CAD和PLM平台，是国内最早从事此领域全国产化的软件公司，研发团队有超过二十年的专业经验积累，技术水平具有国际领先性，在北京、南京和美国设有三个研发中心，拥有超过150项著作权、专利和专利申请，并参与多项国家CAD、CAPP等技术标准的定制工作。CAXA的产品拥有自主知识产权，产品线完整：主要提供数字化设计（CAD）、数字化制造（MES）以及产品全生命周期管理（PLM）解决方案和工业云服务。数字化设计解决方案包括二维、三维CAD，工艺CAPP和产品数据管理PDM等软件；数字化制造解决方案包括CAM、网络DNC、MES和MPM等软件；支持企业贯通并优化营销、设计、制造和服务的业务流程，实现产品全生命周期的协同管理；工业云服务主要提供云设计、云制造、云协同、云资源、云社区5大服务，涵盖了企业设计、制造、营销等产品创新流程所需要的各种工具和服务。
拍里奥,拍里奥,拍里奥（Palio），是秦皇岛金棕榈体育用品有限公司所创的乒乓球品牌。该公司拥有10000平方米的现代化标准厂房及大量先进设备引进吸引了国内外的新技术、新工艺主要生产拍里奥底板、胶皮、海绵、套胶、球拍以及专为各国名牌加工生产乒乓球系列产品。拍里奥已与国内外三百余家商家建立了稳定合作关系。
静熙,静熙,静熙灵感来源于对“韩流时尚”的追崇，这就是静熙风尚；静熙一直秉承着“时尚演绎青春，韩流潮鞋快时尚”的执着精神一直走到今天，致力于打造适合国人自己的韩流品牌，让静熙的足迹伴随着国人走向世界，走向未来。
胭脂泪,胭脂泪,改编自联华出品，阮玲玉主演的名片《神女》。叙述一个妓女为了教育儿子成材，不惜忍受一切耻辱。这个妓女被一个无赖逼得走投无路，结果杀了那个无赖因而被判刑十二年。同时也是范朋飞演唱歌曲。
OUTDOOR PRODUCTS,Outdoor Products,OutdoorProducts，是一间美国公司，1973年在洛杉矶成立。主要生产和批发旅行用品例如露营袋、运动水壶等。
格鲁克,格鲁克,克里斯托弗·威利巴尔德·格鲁克（ChristophWillibaldGluck），德国作曲家。1714年7月2日出生于德国南部巴伐利亚州位于德国和捷克交界处的艾拉斯巴赫，1787年11月15日逝于奥地利维也纳，终年73岁。格鲁克是当时集意大利、法国和德奥音乐风格特点于一身的绝无仅有的作曲家。他的作品以质朴、典雅、庄重而著称。格鲁克的歌剧改革，对法国、意大利、奥地利、瑞典、英国音乐戏剧的发展产生了显著影响，是歌剧发展史上的一个里程碑。
麦道,麦克唐纳·道格拉斯公司,麦克唐纳-道格拉斯公司（McDonnell-DouglasCorporation）是美国制造飞机和导弹的大垄断企业。1939年由詹姆斯·麦克唐纳创办，称麦克唐纳飞机公司。1967年兼并道格拉斯飞机公司，改为现名。从那时起，与波音公司在1997的合并后，它生产了一些知名的商业和军用飞机，如DC-10客机和F-15鹰等空中优势战斗机。该公司总部设在密苏里州的圣路易斯附近的路易斯国际机场，而其子公司麦道公司的总部则设在未合并的密苏里州圣路易斯县。 
ROSSIGNOL,rossignol,创立于1907年的ROSSIGNOL在国外已是家喻户晓的品牌，旗下经营十余个运动品牌包括知名的高尔夫球品牌CLEVELAND与专业单车品牌LOOK，并排花式轮鞋RISPORT，和网球与球拍等。
Mountain Hardwear,Mountain HARD WEAR,MountainHardwear（山浩），顶尖户外品牌之一，其产品以顶级材质，创新设计、精湛的做工和一流的裁剪著称，尤其是硬壳服装，被视为户外品牌中的引领者。总部在美国。
唐域,唐域,《唐域》是连载于起点中文网的网络小说，作者是风清竹逸。
VERSACE,范思哲,范思哲创立于1978年，品牌标志是神话中的蛇发女妖美杜莎（Medusa），代表着致命的吸引力。来自意大利知名的奢侈品牌范思哲（Versace）创造了一个独特的时尚帝国，代表着一个品牌家族，它的时尚产品统领了生活的每个领域，其鲜明的设计风格，独特的美感，极强的先锋艺术表征让它风靡全球。范思哲的设计风格鲜明，是独特的美感极强的先锋艺术的象征。其中最魅力独具的是那些展示充满文艺复兴时期特色的华丽的具有丰富想象力的女装款式，它们性感漂亮，女性味十足，色彩鲜艳，既有歌剧式的超平现实的华丽，又能充分考虑穿着舒适性及恰当地修饰体型。范思哲还经营香水、眼镜、领带、皮件、包袋、瓷器、玻璃器皿、丝巾、羽绒制品、家具产品等。范思哲的设计风格鲜明，独特的先锋艺术表征让他风靡全球，他强调快乐与性感，领口常开到腰部以下，拮取了古典贵族风格的豪华、奢丽，又能充分考虑穿着舒适及恰当的显示体型，在考虑不同的人的所需的同时更是一直坚持自己的风格。范思哲善于采用高贵豪华的面料，借助斜裁方式，在生硬的几何线条与柔和的身体曲线间巧妙过渡，范思哲的作品等都以线条为标志，性感地表达女性的身体，比起其他的品牌更提高了一个层面。范思哲标志设计运用象征的手法，采用神话中蛇妖美杜莎的造型作为精神象征所在，汲取古希腊、埃及、印度等的瑰丽文化打造而成。美杜莎代表着致命的吸引力，它象征着范思哲不仅有着超脱歌剧式的华丽，极强的先锋潮流艺术特征受到世人的追捧。
Haier,海尔,海尔集团创业于1984年，是全球大型家电品牌，目前已从传统制造家电产品的企业转型为面向全社会孵化创客的平台。在互联网时代，海尔致力于成为互联网企业，颠覆传统企业自成体系的封闭系统，变成网络互联中的节点，互联互通各种资源，打造共创共赢新平台，实现攸关各方的共赢增值。 2017天猫双十一“亿元俱乐部”榜单显示，海尔位列第三名。 
欢跃,欢跃,欢跃是一个汉语词语，拼音是huānyuè，意思是精神振奋，欢腾雀跃。
嘉士德,嘉士德,嘉士德(Just)石油化工有限公司隶属于英国嘉士德集团，嘉士德集团成立于1988年，是一家集建筑、石油化工等综合性集团公司。
春天印象,春天印象,春天印象按摩椅，是一款用来缓解疲劳的座椅。
丰乐,丰乐,丰乐，汉语词汇。拼音：fēnglè释义：岁丰熟，民安乐。亦谓富饶安乐。《诗·大雅·旱麓》“瞻彼旱麓，榛楛济济”汉·郑玄笺：“喻周邦之民独丰乐者，被其君德教。”晋·法显《佛国记》：“在道一月五日，得到于阗，其国丰乐，人民殷盛。”
郑开国际马拉松赛,中国郑开国际马拉松赛,中国郑开国际马拉松赛由中国田径协会、河南省体育局、郑州市人民政府、开封市人民政府共同主办，是河南省唯一常设的大型国际体育赛事，也是国内中西部地区规模最大的全程马拉松赛事。赛事定于每年春天三月底四月初适时举行。从2007年首次举办以来，从首届5600人参赛，到2014年第八届有来自29个国家和地区47000人参赛，经历了从量变到质变、从稚嫩到成熟的蜕变过程。
杉杉,杉杉,杉杉集团是杉杉企业中以服装、服饰、纺织品等产业公司为基础构建的时尚产业集团。杉杉集团实施"多品牌、国际化"战略，以产品为核心、以品牌经营为根本，努力拓展时尚产业领域，进一步加强国际合作，致力于成为国内时尚产业的领袖企业。杉杉品牌是杉杉集团旗下的核心品牌，是首家通过绿色环保认证的服装品牌，也是中国服装行业的代表品牌，形成了正装、商务、休闲等系列化产品，产品线已延伸到了女时装、内衣、童装、皮具及家纺等产品领域，其中杉杉西服和杉杉衬衫分别荣获中国名牌产品称号。
宝利博纳,宝利博纳,PLBONER宝利博纳，是宝利博纳集团旗下的主要品牌之一。目前宝利博纳在中国等18个国家和地区均设有形象店。
超,超,超是一个汉字，读音为chāo，本义是跃上，跳过，跃过，作为动词可解释为提拔，超过、胜过等意思，作为形容词可以解释为超脱，超凡，超逸等意思。
哥伦比亚,哥伦比亚,哥伦比亚共和国（西班牙语：RepúblicadeColombia），国土位于南美洲西北部，西临太平洋，北临加勒比海，东通委内瑞拉，东南通巴西，南与秘鲁、厄瓜多尔，西北与巴拿马为邻。为南美洲国家联盟成员国。人口主要以印欧混血为主。西部有沿海平原，为西、中、东三条平行的科迪勒拉山脉构成的高原，山间有宽阔的谷地，南部有一系列火山锥，西北部为马格达莱纳河下游冲积平原，水道纷歧，湖沼广布。哥伦比亚国内经济、交通、旅游业发达，为资源丰富的发展中国家。 哥伦比亚有在长期宏观经济的稳定和良好的增长前景，多元化的经济。哥伦比亚是一个中等强国与拉丁美洲第四大经济体，是的灵猫六国之一，也是世界新兴市场，承认双重国籍。如父母持有在哥长期居留签证，其所生子女可入哥国籍。伟大的拉丁精神充斥在这个国家的任何一个角落，而那些加勒比沿岸具有殖民地色彩的小城、壮观的国家公园、宏伟的安第斯山脉和美丽的热带雨林。
渔夫乐,渔夫乐,渔夫乐是2011年10月31日发布的敏捷小游戏。
爆眼,爆眼,爆眼是词语，拼音是bàoyǎn，释义为眼珠向外突。
黑街,黑街,GANGSTA，是日本漫画家コースケ所著的青年漫画。2011年3月号（创刊号）在新潮社《月刊Comic@BUNCH》上开始连载。于2014年7月宣布TV动画化，同年8月宣布与TV动画化声优一致参与的广播剧于漫画第六卷一起发售。动画于2015年7月播出，全12话。
西格林,西格林,西格林是指世界著名的跨国集团-福尔波西格林(ForboSiegling)集团，主要从事轻型输送带和传动带的开发、生产和销售。
水立方,国家游泳中心,国家游泳中心又称“水立方”(WaterCube)位于北京奥林匹克公园内，是北京为2008年夏季奥运会修建的主游泳馆，也是2008年北京奥运会标志性建筑物之一。它的设计方案，是经全球设计竞赛产生的“水的立方”(3)方案。其与国家体育场(俗称鸟巢)分列于北京城市中轴线北端的两侧，共同形成相对完整的北京历史文化名城形象。国家游泳中心规划建设用地62950平方米，总建筑面积65000-80000平方米，其中地下部分的建筑面积不少于15000平方米长宽高分别为177m×177m×30m。2008年奥运会期间，国家游泳中心承担游泳、跳水、花样游泳、水球等比赛，可容纳观众坐席17000座，其中永久观众坐席为6000座，奥运会期间增设临时性座位11000个(赛后将拆除)。赛后成为具有国际先进水平的、集游泳、运动、健身、休闲于一体的中心 。
天窗,天窗,
508,508,这是一个贴吧的名字：武林外传吧。简称为：508。（武林谐音50，吧谐音8）武林外传吧建立已经有许多年，是一个温馨的贴吧，是蒟蒻心云于2005年4月6日晚上8点20分建立的。从而有了武林外传吧，因此也就有了武林外传吧以后的荣誉。
力杰,力杰,力杰（Cenda）力杰V3 采用的是欧式风格，这种风格的特点是刚柔并进，简约时尚。在细节上力杰V3有了较大的变化：U型处弧度处理更薄，更符合手握感觉，更加舒适;两端的台阶层次设计和电源侧的丰富纹理设计，给用户强大的视觉冲击，台阶层次设计也让产品显得更加轻薄。公司 成立于1996年，于2003年全力进军消费类电子产品领域，专注于消费类电子产品的研发、生产和服务。 
